@Step_start,0.0
Hermeus Mora,0.5,5.0,5.0,5.0
Molag Bal,0.5,-5.0,-5.0,-5.0
Namira,0.4,5.0,-5.0,-8.0
@Step_end
@Step_start,0.05
Hermeus Mora,0.5,4.999975943738784,4.999961777596571,4.999957527753907
Molag Bal,0.5,-4.999921022506833,-4.999975943738784,-4.999992420108369
Namira,0.4,5.049890157536098,-4.8499716677155735,-8.005430215291076
@Step_end
@Step_start,0.1
Hermeus Mora,0.5,4.999903846527301,4.999847098980211,4.999829807722716
Molag Bal,0.5,-4.999684607095005,-4.999902962550041,-4.9999694733767965
Namira,0.4,5.099561521135408,-4.699888272860339,-8.010720668691842
@Step_end
@Step_start,0.15000000000000002
Hermeus Mora,0.5,4.999783853009485,4.999655945027563,4.999616229146907
Molag Bal,0.5,-4.99929180871355,-4.999779454806647,-4.999930739945063
Namira,0.4,5.1490159114081315,-4.549752980441831,-8.01587097840369
@Step_end
@Step_start,0.2
Hermeus Mora,0.5,4.999616110851633,4.99938830417011,4.99931617300308
Molag Bal,0.5,-4.9987437223626445,-4.999603865714833,-4.999875788955361
Namira,0.4,5.198255223022024,-4.3995688769105525,-8.020880768095441
@Step_end
@Step_start,0.25
Hermeus Mora,0.5,4.999400770787544,4.999044172750991,4.998929012179473
Molag Bal,0.5,-4.998041479954145,-4.9993746881525825,-4.999804179535058
Namira,0.4,5.247281418333202,-4.249338969196813,-8.025749665288833
@Step_end
@Step_start,0.30000000000000004
Hermeus Mora,0.5,4.999137986661143,4.998623555386104,4.998454111668695
Molag Bal,0.5,-4.997186247204522,-4.999090463319658,-4.999715461758821
Namira,0.4,5.296096521086758,-4.099066184132889,-8.030477299819752
@Step_end
@Step_start,0.35000000000000003
Hermeus Mora,0.5,4.99882791546633,4.998126465328997,4.997890828778265
Molag Bal,0.5,-4.996179220572372,-4.99874978120712,-4.9996091775869065
Namira,0.4,5.344702610212083,-3.9487533682437514,-8.03506330238272
@Step_end
@Step_start,0.4
Hermeus Mora,0.5,4.998470717383734,4.997552924838961,4.99723851335954
Molag Bal,0.5,-4.9950216242515495,-4.998351280894877,-4.999484861776831
Namira,0.4,5.3931018137356315,-3.798403287888168,-8.039507303165424
@Step_end
@Step_start,0.45
Hermeus Mora,0.5,4.9980665558140895,4.9969029655517145,4.996496508055615
Molag Bal,0.5,-4.9937147072299,-4.997893650686302,-4.999342042765974
Namira,0.4,5.4412963028316215,-3.648018629730826,-8.043808930579289
@Step_end
@Step_start,0.5
Hermeus Mora,0.5,4.9976155974079,4.996176628852012,4.995664148568722
Molag Bal,0.5,-4.992259740422395,-4.997375628089399,-4.999180243523038
Namira,0.4,5.489288286028993,-3.497602001525228,-8.047967810091375
@Step_end
@Step_start,0.55
Hermeus Mora,0.5,4.997118012091066,4.995373966247457,4.994740763947687
Molag Bal,0.5,-4.99065801388643,-4.996795999654258,-4.998998982366623
Namira,0.4,5.53708000359073,-3.3471559331863996,-8.051983563162134
@Step_end
@Step_start,0.6000000000000001
Hermeus Mora,0.5,4.996573973086142,4.994495039742738,4.993725676895926
Molag Bal,0.5,-4.988910834125924,-4.996153600676735,-4.9987977737495095
Namira,0.4,5.584673722079567,-3.1966828781320067,-8.05585580629284
@Step_end
@Step_start,0.65
Hermeus Mora,0.5,4.995983656928858,4.9935399222134755,4.99261820410049
Molag Bal,0.5,-4.987019521489857,-4.995447314778384,-4.998576129007566
Namira,0.4,5.632071729122002,-3.046185214870184,-8.059584150185852
@Step_end
@Step_start,0.7000000000000001
Hermeus Mora,0.5,4.995347243479566,4.99250869777879,4.991417656582561
Molag Bal,0.5,-4.984985407669862,-4.994676073372641,-4.9983335570724705
Namira,0.4,5.679276328380597,-2.8956652488123003,-8.063168199020186
@Step_end
@Step_start,0.75
Hermeus Mora,0.5,4.994664915929233,4.99140146217165,4.990123340069856
Molag Bal,0.5,-4.982809833300558,-4.993838855027172,-4.998069565147742
Namira,0.4,5.726289834742655,-2.745125214288959,-8.066607549844234
@Step_end
@Step_start,0.8
Hermeus Mora,0.5,4.993936860799611,4.990218323106016,4.98873455539126
Molag Bal,0.5,-4.980494145665405,-4.992934684732147,-4.9977836593478075
Namira,0.4,5.773114569731594,-2.59456727674774,-8.06990179208691
@Step_end
@Step_start,0.8500000000000001
Hermeus Mora,0.5,4.9931632679372076,4.988959400639739,4.987250598894026
Molag Bal,0.5,-4.978039696510049,-4.991962633083963,-4.997475345300083
Namira,0.4,5.819752857145688,-2.443993535111554,-8.07305050718789
@Step_end
@Step_start,0.9
Hermeus Mora,0.5,4.992344330500674,4.987624827532097,4.985670762883808
Molag Bal,0.5,-4.975447839964326,-4.990921815393639,-4.997144128710249
Namira,0.4,5.866207018927308,-2.2934060242769205,-8.076053268347122
@Step_end
@Step_start,0.9500000000000001
Hermeus Mora,0.5,4.991480244941233,4.986214749594839,4.983994336087714
Molag Bal,0.5,-4.972719930573418,-4.989811390728819,-4.9967895158910975
Namira,0.4,5.912479371264375,-2.1428067177320456,-8.078909640393238
@Step_end
@Step_start,1.0
Hermeus Mora,0.5,4.990571210975748,4.984729326035502,4.9822206041405375
Molag Bal,0.5,-4.969857321437974,-4.9886305608979065,-4.996411014255504
Namira,0.4,5.958572220924457,-1.9921975302751962,-8.081619179770072
@Step_end
@Step_start,1.05
Hermeus Mora,0.5,4.989617431552074,4.983168729791776,4.9803488500942255
Molag Bal,0.5,-4.966861362462448,-4.987378569384493,-4.996008132774217
Namira,0.4,6.004487861820754,-1.841580320814573,-8.084181434640021
@Step_end
@Step_start,1.1
