0	878
1	0
2	0
3	0
4	11
5	345
6	2909
7	7718
8	8643
9	4813
10	2358
11	1626
12	1611
13	1475
14	1543
15	1656
16	1891
17	2004
18	2223
19	2616
20	3087
21	3662
22	4653
23	5923
24	7938
25	8814
26	12300
27	16432
28	23437
29	31199
30	44265
31	64318
32	113947
33	243295
34	731116
35	1915628
36	3479629
37	2973848
38	1335256
39	321042
40	51825
41	5896
42	730
43	174
44	168
45	169
46	184
47	194
48	207
49	185
50	221
51	235
52	238
53	252
54	254
55	242
56	245
57	194
58	249
59	229
60	235
61	251
62	250
63	249
64	242
65	307
66	320
67	348
68	449
69	476
70	463
71	281
72	140
73	59
74	33
75	21
76	29
77	25
78	20
79	31
80	21
81	31
82	27
83	17
84	13
85	27
86	27
87	28
88	22
89	21
90	22
91	16
92	20
93	25
94	14
95	17
96	34
97	32
98	18
99	15
100	19
101	30
102	22
103	28
104	21
105	20
106	25
107	15
108	18
109	20
110	25
111	24
112	25
113	21
114	28
115	16
116	16
117	20
118	28
119	22
120	19
121	18
122	22
123	26
124	27
125	18
126	19
127	19
128	24
129	24
130	26
131	30
132	33
133	24
134	20
135	22
136	25
137	24
138	29
139	18
140	37
141	22
142	30
143	18
144	25
145	26
146	28
147	28
148	30
149	34
150	32
151	32
152	25
153	23
154	24
155	27
156	25
157	41
158	29
159	41
160	30
161	19
162	31
163	25
164	20
165	26
166	47
167	32
168	35
169	31
170	36
171	32
172	39
173	47
174	49
175	33
176	47
177	41
178	47
179	46
180	48
181	48
182	50
183	44
184	59
185	30
186	54
187	50
188	59
189	52
190	67
191	64
192	54
193	50
194	57
195	70
196	75
197	73
198	74
199	84
200	65
201	77
202	77
203	71
204	79
205	80
206	85
207	86
208	98
209	87
210	98
211	105
212	116
213	99
214	108
215	118
216	102
217	138
218	139
219	133
220	132
221	126
222	150
223	151
224	144
225	128
226	147
227	158
228	198
229	165
230	134
231	171
232	192
233	172
234	185
235	215
236	202
237	207
238	208
239	198
240	214
241	212
242	238
243	228
244	223
245	260
246	239
247	294
248	239
249	287
250	285
251	287
252	229
253	308
254	288
255	290
256	335
257	329
258	342
259	354
260	365
261	338
262	365
263	374
264	377
265	398
266	428
267	417
268	391
269	406
270	426
271	413
272	434
273	458
274	422
275	441
276	490
277	472
278	490
279	496
280	483
281	493
282	520
283	546
284	556
285	546
286	527
287	546
288	585
289	570
290	596
291	559
292	605
293	556
294	610
295	608
296	640
297	626
298	628
299	628
300	678
301	630
302	664
303	618
304	685
305	614
306	687
307	615
308	672
309	627
310	697
311	715
312	709
313	652
314	678
315	602
316	698
317	668
318	657
319	621
320	668
321	693
322	657
323	641
324	637
325	625
326	649
327	615
328	678
329	635
330	659
331	587
332	573
333	581
334	598
335	591
336	571
337	566
338	603
339	578
340	551
341	569
342	586
343	558
344	560
345	551
346	566
347	497
348	552
349	482
350	511
351	477
352	483
353	520
354	493
355	456
356	445
357	444
358	458
359	451
360	462
361	362
362	462
363	406
364	426
365	436
366	450
