f	I`	N1E	N2E	N3E	N4E	N5E	
100	180.9	81	44	50	30	20
200	360.0	163	80	113	50	32
300	537.3	256	138	181	94	66
400	712.9	337	188	241	125	88
500	867.5	412	231	300	156	110
600	1043.5	497	278	359	188	128
700	1220.3	581	325	412	219	150
800	1392.6	647	366	459	244	172
900	1578.9	741	412	506	272	191
1000	1739.1	806	450	563	300	213
